2026-04-09 19:33:39,192.168.31.173,224.0.0.251,Possible scan: high traffic from 192.168.31.173
2026-04-09 19:33:39,20.189.173.17,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,192.168.31.212,20.189.173.17,Normal traffic (TCP)
2026-04-09 19:33:39,192.168.31.1,224.0.0.1,Normal traffic (OTHER)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,192.168.31.212,224.0.0.22,Normal traffic (OTHER)
2026-04-09 19:33:39,192.168.31.212,54.91.160.3,Normal traffic (TCP)
2026-04-09 19:33:39,192.168.31.212,54.91.160.3,Normal traffic (TCP)
2026-04-09 19:33:39,54.165.108.113,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,192.168.31.212,54.91.160.3,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,192.168.31.212,54.91.160.3,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,192.168.31.212,54.91.160.3,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,192.168.31.212,224.0.0.22,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:39,54.91.160.3,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:39,3.228.121.15,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:40,3.228.121.15,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:40,3.228.121.15,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:40,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:40,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:40,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:40,192.168.31.59,224.0.0.251,Normal traffic (UDP)
2026-04-09 19:33:40,192.168.31.59,239.255.255.250,Normal traffic (UDP)
2026-04-09 19:33:40,192.168.31.212,3.228.121.15,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:41,192.168.31.173,192.168.31.255,Possible scan: high traffic from 192.168.31.173
2026-04-09 19:33:41,3.228.121.15,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:41,3.228.121.15,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:41,192.168.31.212,99.83.165.34,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:41,99.83.165.34,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:41,99.83.165.34,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:41,54.165.108.113,192.168.31.212,Normal traffic (TCP)
2026-04-09 19:33:41,192.168.31.212,99.83.165.34,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:41,192.168.31.212,192.168.31.1,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:41,192.168.31.212,192.168.31.1,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:41,192.168.31.1,192.168.31.212,Normal traffic (UDP)
2026-04-09 19:33:41,192.168.31.1,192.168.31.212,Normal traffic (UDP)
2026-04-09 19:33:41,192.168.31.212,4.145.11.36,Possible scan: high traffic from 192.168.31.212
2026-04-09 19:33:42,4.145.11.36,192.168.31.212,Normal traffic (TCP)
